id,model,makeId,typeId
612,X3 2.5I,9,2
613,X3 2.5SI,9,2
614,X3 20I,9,2
615,X3 28I,9,2
616,X3 3.0D,9,2
617,X3 3.0I,9,2
618,X3 3.0SI,9,2
619,X3 35I,9,2
620,X3 M,9,2
621,X3 M40I,9,2
622,X3 XDRIVE 25I,9,2
623,X3 XDRIVE 30I,9,2
624,X4 20I,9,2
625,X4 28I,9,2
626,X4 30I X DRIVE,9,2
627,X4 35I,9,2
628,X4 M40I,9,2
629,X5,9,2
630,X5  XDRIVE 40D,9,2
631,X5 3.0 SI,9,2
632,X5 3.0D,9,2
633,X5 3.0DA,9,2
634,X5 3.0I,9,2
635,X5 35I,9,2
636,X5 4.4I,9,2
637,X5 4.4IA,9,2
638,X5 4.8I,9,2
639,X5 4.8IS,9,2
640,X5 40I X DRIVE,9,2
641,X5 50I,9,2
642,X5 M,9,2
643,X5 XDRIVE 50I,9,2
644,X6 3.0I,9,2
645,X6 3.0SI,9,2
646,X6 3.5I,9,2
647,X6 30D,9,2
648,X6 35I,9,2
649,X6 4.4I,9,2
650,X6 4.4SI,9,2
651,X6 50I,9,2
652,X6 M,9,2
653,X6 XDRIVE 40I,9,2
654,Z3,9,1
655,Z3 2.2,9,1
656,Z3 2.2 I,9,1
657,Z3 2.2I ROADSTER,9,1
658,Z3 2.8,9,1
659,Z3 M,9,1
660,Z3 M ROADSTER,9,1
661,Z3 ROADSTER,9,1
662,Z4 2.5,9,1
663,Z4 2.5I,9,1
664,Z4 20I,9,1
665,Z4 23I,9,1
666,Z4 28I,9,1
667,Z4 3.0 SI,9,1
668,Z4 3.0I,9,1
669,Z4 35I,9,1
670,Z4 35IS,9,1
671,Z4 SDRIVE 35IS,9,1
672,Z8,9,1
673,ESCALADE ESV,10,1
674,COMMANDER 1000 X,11,2
675,COMMANDER 1000 XT,11,2
676,COMMANDER 800 R,11,2
677,DEFENDER BASE HD8,11,2
678,DEFENDER DPS HD8,11,2
679,DEFENDER HD8,11,2
680,DEFENDER XT HD10,11,2
681,FRONTIER PLATINUM 4X2,72,2
682,UFORCE 550,12,2
683,CS15,13,1
684,CS15 COMFORT DCT,13,1
685,CS15 COMFORT MT,13,1
686,CS15 LUXURY DCT,13,1
687,CS75 ELITE AT 2WD,13,1
688,M201 CARGO VAN,13,3
689,MD201,13,2
690,MD201 BOX,13,2
691,MD201 BOX REFRIGERADA,13,2
692,ARRIZO 3 1.5 COMFORT,14,1
693,ARRIZO 3 1.5 COMFORT MT,14,1
694,ARRIZO 5 1.5 COMFORT MT,14,1
695,ARRIZO 5 1.5 LUXURY CVT,14,1
696,ARRIZO 5 1.5 LUXURY MT,14,1
697,BEAT,14,1
698,FACE,14,1
699,FULWIN HATCHBACK,14,1
700,FULWIN SEDAN,14,1
701,IQ 1.1,14,1
702,M11 A3 1.6,14,1
703,M12 A3 1.6 HATCHBACK,14,1
704,NEW QQ CONFORT,14,1
705,NEW QQ LIGHT,14,1
706,QQ BASIC,14,1
707,QQ COMFORT CS,14,1
708,QQ CONFORT,14,1
709,QQ LIGHT,14,1
710,QQ LIGHT LS,14,1
711,SKIN HATCHBACK,14,1
712,SKIN SEDAN,14,1
713,T11 TIGGO 2.0 4X4,14,2
714,TIGGO 1.6 COMFORT,14,1
715,TIGGO 2 - 1.5 LUXURY MT,14,1
716,TIGGO 2 1.5 COMFORT AT,14,1
717,TIGGO 2 1.5 COMFORT MT,14,1
718,TIGGO 2 PRO 1.5 5MT,14,1
719,TIGGO 2 PRO 1.5 CVT,14,1
720,TIGGO 2.0,14,1
721,TIGGO 2.0 COMFORT,14,1
722,TIGGO 2.0 LUXURY A/T,14,1
723,TIGGO 2.0I LUXURY,14,2
724,TIGGO 3 1.6 COMFORT,14,1
725,TIGGO 3 1.6 LUXURY CVT,14,1
726,TIGGO 3 1.6 LUXURY MT,14,1
727,TIGGO 3 GLS 1.6,14,1
728,TIGGO 4 1.5 5MT COMFORT,14,1
729,TIGGO 4 1.5 CVT COMFORT,14,1
730,TIGGO 4 2.0 COMFORT CVT,14,1
731,TIGGO 4 2.0 COMFORT MT,14,1
732,TIGGO 5 2.0 COMFORT,14,1
733,TIGGO 5 2.0 COMFORT CVT,14,1
734,TIGGO 5 2.0 LUXURY CVT,14,1
735,TIGGO 5 2.0 LUXURY MT,14,1
736,TIGGO 5 2.0 MT COMFORT,14,1
737,TIGGO 7,14,1
738,TIGGO 7 1.5T LUXURY 6MT,14,1
739,1500 SILVERADO 4X2,15,2
740,1500 SPORTSIDE,15,2
741,2500 SILVERADO HD,15,2
742,AGILE 5P 1.4 LS,15,1
743,AGILE 5P 1.4 LT,15,1
744,AGILE 5P 1.4 LTZ,15,1
745,AGILE 5P LS SPIRIT 1.4,15,1
746,AGILE 5P LT SPIRIT 1.4,15,1
747,AGILE 5P LTZ SPIRIT 1.4,15,1
748,AGILE LS 5P 1.4N,15,1
